id,file_name,page_start,page_end,current_section_number,detected_body_heading,mismatch_type,first_40_words_sanitized,contains_group_m,contains_1115,contains_12000,contains_903,contains_907,recommended_action,proposed_section_number,confidence,reviewer_notes
1537,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,4,238,506.3.1,,no_detectable_heading,"Any part of the perimeter that is not accessible to the fire department by means of a street or fire lane cannot be considered open for the purposes of this section. For instance, if the back side of a building",,,,1,,do_not_touch,,,
1538,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,4,238,507.2,,no_detectable_heading,❖ The requirements for Group A-3 buildings of Type III or IV construction are similar to the provisions for buildings of Type II construction. Due to the permitted use of combustible materials in Group A-3 buildings of Type III and,,,,,,split_chunk_candidate,,,
1540,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,4,238,506.3,,no_detectable_heading,"The increase permitted in Section 506.3 is to be based on the open frontage of Group H-2, H-3 and H- 4 floor areas. In Commentary Figure 507.8.2(1), the Group H-2 floor area is located in the corner of the Group",,,,1,,split_chunk_candidate,,,
1541,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,4,238,506.2,507.10,suspicious_cross_chapter_label,"❖ Group H-5 occupancy has a relative hazard based on allowable area per Table 506.2 that is equal to or better than B, F, M, and S occupancies. Adding H-5 occupancy to the occupancies that are allowed to have unlimited",,,,1,,split_chunk_candidate,,,
1542,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,4,238,510.2,,no_detectable_heading,"A common example of a building constructed under the provisions of Section 510.2 is a Type IA building that contains parking at and below grade level, with up to four stories of Group R- 2 apartments in a Type VA,",,,,,,split_chunk_candidate,,,
1544,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,4,238,504.4,510.5,suspicious_cross_chapter_label,"For instance, a fully sprinklered Group R-2 building of Type VB construction would normally be permitted to be three stories above grade plane (Table 504.4 for R-2, “S”). If it meets the conditions of this Section for parking on the",,,,1,,split_chunk_candidate,,,
1546,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,8,14,402.8.1,,no_detectable_heading,"In order to minimize a fire exposure hazard, kiosks and similar structures must be located at least 6 m from each other or be situated in groups that are appropriately separated from other kiosks. Although the structure itself is often",,,,,,split_chunk_candidate,,,
1547,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,8,14,402.6.4,402.6.4.3,body_heading_child_of_section_number,❖ Signs that are wider than they are tall (horizontal panels) must not be more than 900 mm in height. The width of signs is controlled by the maximum area (see Section 402.6.4.1) and the location restrictions with respect to,,,,,,split_chunk_candidate,,,
1548,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,8,14,402.5,402.7.1,body_heading_differs_from_section_number,"❖ The special allowances for covered and open mall buildings are available in great part due to the presence of several emergency fire protection systems within the building. In addition to the automatic sprinkler system required by Section 402.5 ,",,,,,1,split_chunk_candidate,,,
1550,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,8,14,402.8.2,402.8.2.1,body_heading_child_of_section_number,"❖ Since the tenant spaces of covered or open mall buildings can be used for various occupancies, the design occupant loads will also vary. Although each tenant space contributes to the gross leasable area of Section 402.8.2.1, each must have",1,,,,,safe_auto_candidate,,,
1551,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,8,14,402.8.3,402.8.2.2,body_heading_differs_from_section_number,"In summary, there is a calculation of occupant load for tenant spaces that is used to determine the number of means of egress from a tenant space. The locations of the means of egress are determined under Sections 402.8.3 and",1,,,,,split_chunk_candidate,,,
1553,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,8,14,402.8.6,,no_detectable_heading,"❖ The maximum permissible travel distance from any point in the tenant space to the mall is 60 m. A similar 60 m limitation is applied from any point within the mall in a covered mall building to an exit,",1,,,,,split_chunk_candidate,,,
1554,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,402.8.6,402.8.6.1,body_heading_child_of_section_number,"CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 237 potential for the space to become untenable in a fire condition. 402.8.6.1 Exit passageways. Where exit passageways provide a secondary means of egress from a tenant space, the",1,,,,,split_chunk_candidate,,,
1557,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,403.3.3,,no_detectable_heading,"❖ Fire pumps are installed in sprinkler and standpipe systems to pressurize the water supply for the minimum required sprinkler and standpipe operations. Fire pumps are only “required” to meet the system needs. Therefore, whether a particular high-rise building includes",,,,,,split_chunk_candidate,,,
1558,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,913.2.1,403.4,suspicious_cross_chapter_label,"❖ Where fire pumps are provided, they must be properly isolated from other portions of the high-rise building with fire-resistance-rated construction in accordance with Section 913.2.1 . The separation must consist of minimum 2-hour fire barriers or horizontal assemblies, or",,,,,1,split_chunk_candidate,,,
1559,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,410.3,,no_detectable_heading,"CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 304 in which the permanent platform is located. Permanent platforms are permitted to be constructed of fire-retardant-treated wood for Types I, II and IV construction where the platforms are",,,,,,split_chunk_candidate,,,
1560,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,410.2.4,,no_detectable_heading,"❖ Separation of the stage from appurtenant rooms provides a significant level of fire containment. Such containment is fundamental to limiting the spread of fire from adjacent spaces to the stage area, as well as the growth of fires in",,,,,,split_chunk_candidate,,,
1561,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,410.5.3,410.5.3.1,body_heading_child_of_section_number,"❖ A variety of special means of egress provisions are provided for technical production areas that take into account the unique characteristics of such areas. Defined in Section 202, “Technical production areas” include all technical support areas, regardless of their",,,,1,,split_chunk_candidate,,,
1563,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,412.3,412.3.1,body_heading_child_of_section_number,❖ The requirements of Section 412.3 address commercial (or nonresidential) aircraft hangars. It should be noted that most commercial aircraft hangars will not be limited in height in terms of meters (see Section 504.1 ) or in area (see Section,,,,,,split_chunk_candidate,,,
1566,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,412.3.6,412.3.5,body_heading_differs_from_section_number,"❖ Any of the operations listed in Section 412.3.6.1 that are occurring in a Group III hangar will require, under NFPA 409, some level of fire suppression. Doping is clarified in Section 412.3.5 . 412.3.6.2 Separation of maximum single fire",,,,,,split_chunk_candidate,,,
1568,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,5704.2.7,415.9.2,suspicious_cross_chapter_label,❖ Additional provisions are necessary to minimize the possibility of an accidental release of flammable or combustible liquids or their vapors via any connection to the tank other than a vent. This includes requirements for liquid-tight openings below the liquid,,,,,,split_chunk_candidate,,,
1570,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,415.11.1,307.1,suspicious_cross_chapter_label,❖ Sections 415.11.1.1.1 and 415.11.1.1.2 regulate the quantities and densities of HPM for each fabrication area of a Group H-5 facility. 415.11.1.1.1 Aggregate quantities. The aggregate quantities of hazardous materials stored and used in a single fabrication area shall not,,,,,,manual_review,,,
1571,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,415.6.5,,no_detectable_heading,"Note e recognizes the hazards posed by pyrophoric gases and limits the quantity within the fabrication area to be consistent with the threshold at which Table 415.6.5 would require a detached building, 55 m3. Note f, along with the amounts",,,,,,split_chunk_candidate,,,
1572,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,415.11.1,,no_detectable_heading,second per squar meter of floor area shall be provided throughout the portions of the fabrication area where HPM are used or stored. The exhaust air duct system of one fabrication area shall not connect to another duct system outside,,,,,,split_chunk_candidate,,,
1573,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,415.11.4,,no_detectable_heading,"❖ Consistent with Chapter 27, electrical installations are required to comply with SBC 401. This Section specifically permits the dilution of concentrations of hazardous areas such that the hazardous location provisions of NFPA 70 need not apply. This is because",,,,,,split_chunk_candidate,,,
1574,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,2704.2,415.11.6,suspicious_cross_chapter_label,"The larger amounts of HPM typically stored in separate areas present a hazard comparable to other Group H facilities; therefore, such storage rooms need to meet similar code requirements. Storage rooms containing HPM in quantities greater than permitted by Section",,,,,,split_chunk_candidate,,,
1575,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,415.11.6,415.11.6.3,body_heading_child_of_section_number,"The construction limitations on the shelving racks and wainscotting are intended to limit their potential involvement in a fire scenario. Due to the volatile nature of Class I flammable liquids and the need for quick fire department access, they must",,,,,,split_chunk_candidate,,,
1576,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,716.1,415.11.6.8,suspicious_cross_chapter_label,❖ Doors that are in an interior wall that comprises part of the storage room enclosure are required to have a minimum 3/4-hour fire protection rating. The actual rating is dependent on the fire-resistance rating of the fire barrier separation,,,,,,split_chunk_candidate,,,
1577,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,415.11.7,415.11.7.4,body_heading_child_of_section_number,❖ Excess flow control valves regulate the flow of hazardous materials within the piping system. The valves are designed to shut off in the event the pre-determined flow is exceeded. 415.11.7.4 Installations in corridors and above other occupancies. The installation,,,,,,split_chunk_candidate,,,
1578,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,502.7,416.3,suspicious_cross_chapter_label,"❖ The provisions addressing ventilation in spray rooms where flammable finishes are applied are found in Sections 502.7 of SBC 501 and 2404.7 of SBC 801. For effective ventilation, the system must run continuously during the spraying operation phase and",,,,,,split_chunk_candidate,,,
1580,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,708.3,,no_detectable_heading,"❖ The sleeping units or dwelling units that are in a single building are required to be separated by fire partitions complying with Section 708, or horizontal fire resistance- rated assemblies complying with Section 711. Fire partitions are the least",,,,1,1,split_chunk_candidate,,,
1582,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,427.2.1,427.2.3,body_heading_differs_from_section_number,"❖ This Section contains specific construction, ventilation and suppression requirements for interior rooms that contain medical gases in quantities requiring a permit under Section 105 of SBC 801. Interior rooms must have mechanical ventilation with a protected duct system exhausting",1,,,,,split_chunk_candidate,,,
1583,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,707.3.10,,no_detectable_heading,"Group M area = 975 m2. Group A-3 area = 975 m2. Group B area = 1950 m2 [combined area for two stories, each 975 m2]. Because of the construction required in this example for each separation, these occupancy areas",1,1,,1,,do_not_touch,,,
1587,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,509.1,510.1,suspicious_cross_chapter_label,"❖ The point of this Section is that the sprinkler system stipulated in Table 509.1 is required only for the room or space containing the incidental use or system. In general, the nature of these incidental uses is such that",,,,,,manual_review,,,
1588,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,1023.2,,no_detectable_heading,"❖ Example: Consider a building where the upper occupancy is of Type IB protected construction, and the open parking structure is of Type IIB unprotected construction. In accordance with Table 601, all load-bearing walls and structural frames, including columns and",,,,,,split_chunk_candidate,,,
1591,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,903.2.6,,no_detectable_heading,"New and existing Group I-2 occupancies are required to be protected by an automatic sprinkler system in accordance with Section 903.2.6 and Section 1103.5 of SBC 801. g. For new Group I-4 occupancies, see Exceptions 2 and 3 of Section",,,,1,,do_not_touch,,,
1593,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,903.3.1,,no_detectable_heading,[Table table_p243_1] Headers: OCCUPANCY CLASSIFICATION | TYPE Of CONSTRUCTION SEE FOOTNOTES | TYPE Ⅰ | TYPE Ⅱ | TYPE Ⅲ | TYPE Ⅳ | TYPE Ⅴ A | B | A | B | A | B | A |,,,,1,,do_not_touch,,,
1597,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,15,246,903.3.1,,no_detectable_heading,S13D = Buildings equipped throughout with an automatic sprinkler system installed in accordance with Section 903.3.1.3 . a. See Chapter 4 and 5 for specific exceptions to the allowable height in this chapter. b. See Section 903.2 for the minimum,,,,1,,do_not_touch,,,
1598,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,412.2,,no_detectable_heading,CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 238 1 Airport traffic control towers in accordance with Section 412.2 . 2 Open parking garages in accordance with Section 406.5 . 3 The portion of a building containing,,,,,,split_chunk_candidate,,,
1600,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,102.4,,no_detectable_heading,Sprinkler control valves with supervisory initiating devices and water-flow initiating devices must be provided for each floor to realize the reduction in fire-resistance rating. Annunciation by floor is intended to allow rapid identification of the fire location by the fire,,,,,,split_chunk_candidate,,,
1601,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,403.2.1,403.2.1.2,body_heading_child_of_section_number,"For example, an eight-story high-rise office building is to be constructed and equipped with an automatic sprinkler system in accordance with Sections 403.2.1 and 403.3. The minimum allowable construction type is Type IB. In accordance with Section 403.2.1.1, however, the",,,,,,split_chunk_candidate,,,
1602,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,509.1,508.3,suspicious_cross_chapter_label,"Those rooms and spaces listed in Table 509.1 are incidental uses and are not to be considered as accessory occupancies, but rather must be separated or protected as specified in the table. 508.3 Nonseparated occupancies. Buildings or portions of buildings",,,,,,split_chunk_candidate,,,
1603,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,508.3.3,,no_detectable_heading,The principle behind the nonseparated occupancies concept is that different occupancies within the same building do not have to be separated by fire-resistance-rated assemblies if the building complies throughout with the most restrictive code requirements for construction type and fire,1,,,,1,split_chunk_candidate,,,
1604,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,508.3.1,,no_detectable_heading,"❖ Section 508.3.1 already states that the requirements of this code apply to each portion of the building based on the occupancy classification of that space. Therefore, applying I-2 requirements outside of the Group I-2 designated areas isn't required. This",1,,,,,do_not_touch,,,
1605,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,1004.5,508.5,suspicious_cross_chapter_label,"Historically, building codes did not have to address many live/work issues because zoning codes generally precluded a mixing of uses within a neighborhood, much less within a building. However, recent planning trends have been adopted in many jurisdictions, encouraging mixing",,,,,,split_chunk_candidate,,,
1607,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,907.2.9,508.5.8,suspicious_cross_chapter_label,This Section requires the installation of a fire alarm system as required for a Group R-2 occupancy. Section 907.2.9 would only require a fire alarm system in certain cases. The requirements for a manual fire alarm are based on the,,,,,1,split_chunk_candidate,,,
1608,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,16,232,1004.5,508.5.11,suspicious_cross_chapter_label,"A two-bedroom dwelling unit would typically require 50 Liters per second (7 Liters per second per occupant × 7 occupants — 18.6 m2 per occupant in accordance with Table 1004.5). However, it is more typical that designs of residential dwelling",,,,,,manual_review,,,
1609,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,19,19,403.2.2,403.2.2.1,body_heading_child_of_section_number,"CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 241 relatively large numbers of occupants, where there is an elevated life safety hazard, or where the occupants’ ability to respond to an emergency is limited. Also see the",,,,,,split_chunk_candidate,,,
1610,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,19,19,403.2.2,403.2.2.4,body_heading_child_of_section_number,❖ Concrete and masonry walls used for such enclosures are deemed to be adequate to meet the intent of this requirement without any testing under ASTM C1629. 403.2.2.4 Other wall materials. Any other wall materials that provide impact resistance equivalent,,,,,,split_chunk_candidate,,,
1611,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,907.5.2,403.4.5,suspicious_cross_chapter_label,CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 245 signal will usually commence with a 3-to 10- second alert signal followed by the message. See the commentary to Section 907.5.2.2 for further requirements of the emergency voice/alarm,,,,,1,split_chunk_candidate,,,
1612,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,403.4.7,,no_detectable_heading,❖ Section 403.4.7 requires new high-rise buildings to be provided with a smoke removal system to exhaust products of combustion following a fire incident. The intent of the requirement as clearly specified in the code is to facilitate the removal,,,,,,split_chunk_candidate,,,
1613,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,406.3.3,406.3.3.1,body_heading_child_of_section_number,"❖ Carports are covered structures, either free- standing or attached to the side of a building, for the purposes of providing shelter for motor vehicles. Carports must be open on at least two sides. This openness allows a fire condition",,,,,,split_chunk_candidate,,,
1618,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,406.5.2,,no_detectable_heading,"In addition to complying with the opening criteria found in Section 406.5.2, the openings for an increased area and/or height open parking garage must be at least equal to 50 percent of the interior area of each tier and must",,,,,,split_chunk_candidate,,,
1619,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,406.5.2,406.5.10,body_heading_differs_from_section_number,"❖ Based on the use of open parking garages requiring convenient and frequent access between floor levels, enclosure of most vertical openings is not required or desired due to the opening requirements of Section 406.5.2. This would include the exit",,,,,,split_chunk_candidate,,,
1620,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,406.3,406.6.3,body_heading_differs_from_section_number,"associated with their home. In the rare instance that a garage accessory to a one- or two-family dwelling is classified as an enclosed public garage, waiving the ventilation and exhaust requirements of this section is consistent with Section 406.3. 406.6.3",,,,1,,split_chunk_candidate,,,
1621,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,3206.7,406.7,suspicious_cross_chapter_label,❖ Fire department access door requirements are determined for mechanical-access enclosed parking garages in the same manner as they are for other high-piled storage areas (see Section 3206.7 of SBC 801). 406.7 Motor fuel-dispensing facilities. Motor fuel-dispensing facilities shall comply,1,,,,,split_chunk_candidate,,,
1622,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,406.8,601,suspicious_cross_chapter_label,❖ This provision is part of the overall package of code requirements related to gaseous hydrogen fuel. These additional requirements are necessary to abate the inherent hazards while permitting the use of weather shelters. Not only must the canopies be,,,,,,split_chunk_candidate,,,
1623,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,23,235,504.3,506.2,suspicious_cross_chapter_label,"It is the responsibility of the building official to determine where the application of this section is appropriate. The mere cost impact of the application of Table 504.3, Table 504.4 and Table 506.2 does not dictate an exemption. The building",,,,,,split_chunk_candidate,,,
1627,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,24,77,403.4.8,403.4.8.3,body_heading_child_of_section_number,"❖ Standby and emergency power are required to increase the probability that the fire protection systems and elevators will continue to function in the event of failure of normal building service. By referencing Chapter 27, these provisions pick up the",,,,,1,split_chunk_candidate,,,
1628,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,24,77,405.4.1,405.6,body_heading_differs_from_section_number,"❖ The compartmentation referred to in this section is that discussed in Section 405.4.1, which requires that the building be separated from the story of level of exit discharge to the lowest level in the building. It is not the",,,,,1,split_chunk_candidate,,,
1633,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,25,30,2702.1.5,,no_detectable_heading,"CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 247 power, or both, such generators be protected in a room of not less than 2-hour construction. The walls of the room are to be constructed as fire barriers.",,,,1,,split_chunk_candidate,,,
1634,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,25,30,1009.4,,no_detectable_heading,"Elevators in a high-rise building must be provided with standby power. Additional requirements are found in Section 1009.4 for elevators used as accessible means of egress; Section 3007 for fire service access elevators required by Section 403.6.1; and Section 3008",,,,,,split_chunk_candidate,,,
1635,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,25,30,403.6.1,,no_detectable_heading,"❖ This section explicitly states that elevator installation and operation are to be in accordance with Chapter 30, which contains provisions for the design, construction, installation, operation and maintenance of elevators. While a vital purpose of the elevator requirements in",,,,,,split_chunk_candidate,,,
1636,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,25,30,1003.7,,no_detectable_heading,"❖ Section 3008 provides the requirements for occupant evacuation elevators. When part of a fire safety and evacuation plan, occupant evacuation elevators are allowed in a building. A key element of applying Section 3008 is that all passenger elevators for",,,,,,split_chunk_candidate,,,
1637,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,26,27,3007.8,,no_detectable_heading,CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 248 express elevators. The capacity of the standby system must be such that all equipment that has to be operational at the same time will be able to function.,,,,,,split_chunk_candidate,,,
1638,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,26,27,1007.1.1,,no_detectable_heading,"❖ This section requires that two of the interior exit stairways be separated from each other by a minimum distance. Requiring a minimum separation, even as little as 9 m, reduces the probability that a fire or other event that",,,,,,split_chunk_candidate,,,
1640,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,28,28,1006.2.1,,no_detectable_heading,"CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 250 example, in a high-rise office building that has a calculated occupant load of 250 on each story, two stairways each designed to accommodate 125 occupants will be the",,,,,,split_chunk_candidate,,,
1642,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,31,117,712.1.9,,no_detectable_heading,CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 253 other options listed in Section 712 do not need to be addressed. Spaces that are separated from the atrium by shaft enclosure assemblies complying with the provisions of,,,,1,,split_chunk_candidate,,,
1644,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,31,117,713.4,404.6,suspicious_cross_chapter_label,"The first exception, discussed previously, allows smoke control to be omitted from occupancies, other than Group I-2 and Group I-1, Condition 2, where the atrium only connects two stories. The second exception recognizes the level of protection that shaft level",,,,,,manual_review,,,
1646,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,31,117,404.1,,no_detectable_heading,"As discussed in the commentary to Section 404.1, the atrium requirements are basically one of many options for protecting vertical openings through floors as established in the requirements of Section 712. More specifically, Section 712 has multiple options that are",,,,,,split_chunk_candidate,,,
1647,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,31,117,415.11.1,415.11.1.1,body_heading_child_of_section_number,"other fabrication areas by fire barriers, horizontal assemblies, or both, having a fire- resistance rating of at least 1 hour. While the potential fire exposure could warrant a higher fire-resistance rating, the additional protection features indicative of a Group H-5",,,,,,split_chunk_candidate,,,
1648,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,31,117,415.11.1,415.11.1.6,body_heading_child_of_section_number,❖ Section 712 specifies the conditions where a shaft enclosure or some other application of addressing vertical openings in multistory buildings is required. This section provides the requirements for specific opening penetrations through a floor within a fabrication area. The,,,,,,safe_auto_candidate,,,
1649,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,35,37,1023.2,,no_detectable_heading,CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 257 1 The entry to the exit stairway is the edge of the closest riser of the exit stairway. 2 The entry of the exit stairway shall have access,,,,1,,split_chunk_candidate,,,
1650,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,35,37,405.2,,no_detectable_heading,"To egress the structure, occupants must travel in an upward direction. The direction of occupant travel is the same as the direction that the products of combustion travel. As such, the occupants are potentially exposed to the products of combustion",,,,1,,split_chunk_candidate,,,
1651,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,35,37,903.3.1,,no_detectable_heading,"❖ One of the most effective preventive measures to fire growth is the installation of an automatic sprinkler system. Because of the unique conditions for occupant egress and fire department access in the underground portion of a building, automatic sprinkler",,,,1,,split_chunk_candidate,,,
1652,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,35,37,405.5,405.4.2,body_heading_differs_from_section_number,"The provisions for smoke control and compartmentation found in Section 405 were historically focused on smoke exhaust versus smoke control. The code now addresses smoke control, meeting the requirements of Section 909. The requirements of Sections 405.5 and 909 focus",,,,,,split_chunk_candidate,,,
1653,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,39,39,405.4,,no_detectable_heading,"CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 261 compartmentation is required by Section 405.4, each compartment shall have not fewer than one exit and not fewer than one exit access doorway into the adjoining compartment. ❖",,,,,,split_chunk_candidate,,,
1654,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,39,39,403.4.8,405.8.2,suspicious_cross_chapter_label,"❖ The standby power system is required to supply electrical power to equipment that is essential to emergency egress, and fire- fighting and rescue operations. See the commentary to Sections 403.4.8.3 and 3003 regarding how elevators operate under standby power.",,,,,,manual_review,,,
1657,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,40,41,804.2,,no_detectable_heading,"Exception 1 allows asphalt paving on the ground level of public parking garages and for private carports. Exception 1, in part, recognizes that many states have allowed the use of asphalt paving surfaces at grade levels of parking garages with",,,,,,split_chunk_candidate,,,
1658,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,42,218,406.7,406.2.7,body_heading_differs_from_section_number,CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 264 and uses unless the criteria for a fuel- dispensing facility are met. Motor fuel- dispensing facilities are classified as a Group M occupancy (see Section 309). It is,1,,,,,split_chunk_candidate,,,
1661,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,42,218,508.3,,no_detectable_heading,"In contrast to the accessory occupancy provisions for this example, the fundamental concept for nonseparated occupancies is that the allowable building areas are based on the most restrictive requirements of each of the occupancies in the mixed-occupancy building. Example 2:",1,,,,,do_not_touch,,,
1662,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,42,218,504.4,506.2.2.1,suspicious_cross_chapter_label,"The aggregate sum of the ratios is 3.23 (0.96 + 0.65 + 0.97 + 0.65). Since the aggregate sum of the ratios exceeds 3.0, Type IIB construction would not be permitted without further modification. In addition, this building could not",,,,,,split_chunk_candidate,,,
1665,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,43,43,406.2.9,,no_detectable_heading,CHAPTER 4—SPECIAL DETAILED REQUIREMENTS BASED ON OCCUPANCY and use SBC 201-CC-2024 265 ignition in the appliance are elevated in accordance with Section 406.2.9 . Exception: This section shall not apply to appliance installations complying with Section 406.2.9.2 or 406.2.9.3 .,,,,,,split_chunk_candidate,,,
1668,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,52,138,407.2.5,,no_detectable_heading,"❖ The provisions contained in Section 407 reflect requirements of previous model codes, full- scale fire tests and historical fire experience. Features unique to health care facilities, such as a low fuel load, the presence of staff, operating practices and",,,,,,split_chunk_candidate,,,
1669,SBC 201 - The Saudi General Building Code-251-500_extracted_chunks.json,52,138,415.11.8,415.11.8.1,body_heading_child_of_section_number,❖ A gas detection system in the room or area utilized for the storage or use of HPM gases provides early notification of a leak that is occurring before the escaping gas reaches hazardous concentration levels. 415.11.8.1 Where required. A,,,,,,split_chunk_candidate,,,
